Date,Description,Description - cleaned,Category,Money in,Money Out,Balance
17/03/2020,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,43.91,"3,822.62"
17/03/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,6.12,"3,816.50"
18/03/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,36.01,"3,780.49"
18/03/2020,CARD PAYMENT TO PRET,Pret,Food & Drink,,26.55,"3,753.94"
19/03/2020,CARD PAYMENT TO BP,BP,Transport,,50.46,"3,703.48"
19/03/2020,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,6.88,"3,696.60"
19/03/2020,CARD PAYMENT TO BP,BP,Transport,,9.23,"3,687.37"
20/03/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,36.72,"3,650.65"
22/03/2020,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,127.12,"3,523.53"
23/03/2020,CARD PAYMENT TO TESCO,Tesco,Groceries,,57.99,"3,465.54"
23/03/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,39.03,"3,426.51"
24/03/2020,CARD PAYMENT TO TESCO,Tesco,Groceries,,42,"3,384.51"
24/03/2020,CARD PAYMENT TO IKEA,Ikea,Shopping,,87,"3,297.51"
26/03/2020,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,10.31,"3,287.20"
26/03/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,51.2,"3,236.00"
27/03/2020,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,26.55,"3,209.45"
28/03/2020,CARD PAYMENT TO AMAZON,Amazon,Shopping,,133.76,"3,075.69"
29/03/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,30.42,"3,045.27"
30/03/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,16.36,"3,028.91"
30/03/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,60.64,"2,968.27"
30/03/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,30.61,"2,937.66"
31/03/2020,CARD PAYMENT TO MORRISONS,Morrisons,Groceries,,24.35,"2,913.31"
31/03/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,47.9,"2,865.41"
01/04/2020,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2576.86,,"5,442.27"
02/04/2020,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"4,592.27"
02/04/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,8.82,"4,583.45"
03/04/2020,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,31.54,"4,551.91"
03/04/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,50.33,"4,501.58"
04/04/2020,CARD PAYMENT TO TESCO,Tesco,Groceries,,21.96,"4,479.62"
05/04/2020,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,67.79,"4,411.83"
06/04/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,63.1,"4,348.73"
06/04/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,43.98,"4,304.75"
06/04/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,35.94,"4,268.81"
07/04/2020,DIRECT DEBIT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,79.49,"4,189.32"
07/04/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,28.31,"4,161.01"
09/04/2020,CARD PAYMENT TO PRET,Pret,Food & Drink,,6.6,"4,154.41"
11/04/2020,CARD PAYMENT TO APPLE,Apple,Subscriptions,,15.29,"4,139.12"
12/04/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,43.77,"4,095.35"
12/04/2020,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,14.03,"4,081.32"
12/04/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,34.23,"4,047.09"
13/04/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,13.87,"4,033.22"
14/04/2020,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,25.46,"4,007.76"
16/04/2020,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,22.24,"3,985.52"
17/04/2020,CARD PAYMENT TO SHELL,Shell,Transport,,29.57,"3,955.95"
18/04/2020,CARD PAYMENT TO APPLE,Apple,Subscriptions,,3,"3,952.95"
19/04/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,71.4,"3,881.55"
19/04/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,20.35,"3,861.20"
20/04/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,52.67,"3,808.53"
20/04/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,49.29,"3,759.24"
21/04/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,21.74,"3,737.50"
21/04/2020,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,134.49,"3,603.01"
22/04/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,29.04,"3,573.97"
22/04/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,25.04,"3,548.93"
22/04/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,72.01,"3,476.92"
23/04/2020,CARD PAYMENT TO MORRISONS,Morrisons,Groceries,,29.61,"3,447.31"
24/04/2020,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,7.4,"3,439.91"
25/04/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,22.61,"3,417.30"
25/04/2020,CARD PAYMENT TO PRET,Pret,Food & Drink,,3.52,"3,413.78"
27/04/2020,CARD PAYMENT TO SHELL,Shell,Transport,,48.62,"3,365.16"
27/04/2020,CARD PAYMENT TO TESCO,Tesco,Groceries,,62.13,"3,303.03"
28/04/2020,CARD PAYMENT TO LIDL,Lidl,Groceries,,16.69,"3,286.34"
29/04/2020,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,11.02,"3,275.32"
30/04/2020,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,14.27,"3,261.05"
01/05/2020,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2467.12,,"5,728.17"
02/05/2020,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"4,878.17"
02/05/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,38.93,"4,839.24"
03/05/2020,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,65.31,"4,773.93"
03/05/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,24.56,"4,749.37"
03/05/2020,CARD PAYMENT TO SHELL,Shell,Transport,,44.25,"4,705.12"
03/05/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,40.02,"4,665.10"
05/05/2020,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,79.78,"4,585.32"
05/05/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,24.14,"4,561.18"
06/05/2020,CARD PAYMENT TO ALDI,Aldi,Groceries,,54.87,"4,506.31"
06/05/2020,CARD PAYMENT TO PRET,Pret,Food & Drink,,28.94,"4,477.37"
07/05/2020,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,87.41,"4,389.96"
07/05/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,12.93,"4,377.03"
07/05/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,50.41,"4,326.62"
08/05/2020,CARD PAYMENT TO APPLE,Apple,Subscriptions,,15.21,"4,311.41"
08/05/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,52.59,"4,258.82"
10/05/2020,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,14.01,"4,244.81"
11/05/2020,CARD PAYMENT TO AMAZON,Amazon,Shopping,,96.56,"4,148.25"
11/05/2020,CARD PAYMENT TO CURRYS,Currys,Shopping,,95.45,"4,052.80"
11/05/2020,CARD PAYMENT TO IKEA,Ikea,Shopping,,71.16,"3,981.64"
12/05/2020,CARD PAYMENT TO LIDL,Lidl,Groceries,,62.04,"3,919.60"
14/05/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,53.31,"3,866.29"
15/05/2020,CARD PAYMENT TO APPLE,Apple,Subscriptions,,9.17,"3,857.12"
18/05/2020,CARD PAYMENT TO UBER,Uber,Transport,,43.97,"3,813.15"
18/05/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,39.08,"3,774.07"
19/05/2020,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,179.44,"3,594.63"
20/05/2020,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,59.7,"3,534.93"
20/05/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,16.03,"3,518.90"
21/05/2020,CARD PAYMENT TO AMAZON,Amazon,Shopping,,137.58,"3,381.32"
22/05/2020,CARD PAYMENT TO BP,BP,Transport,,46.41,"3,334.91"
24/05/2020,CARD PAYMENT TO NANDOS,Nandos,Food & Drink,,8.24,"3,326.67"
24/05/2020,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,17.33,"3,309.34"
26/05/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,58.71,"3,250.63"
27/05/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,44.08,"3,206.55"
27/05/2020,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,15.96,"3,190.59"
28/05/2020,CARD PAYMENT TO APPLE,Apple,Subscriptions,,9.05,"3,181.54"
28/05/2020,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,16.36,"3,165.18"
29/05/2020,CARD PAYMENT TO NANDOS,Nandos,Food & Drink,,4.76,"3,160.42"
29/05/2020,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,11.23,"3,149.19"
29/05/2020,CARD PAYMENT TO SAINSBURYS,Sainsburys,Groceries,,16.5,"3,132.69"
30/05/2020,CARD PAYMENT TO STARBUCKS,Starbucks,Food & Drink,,6.2,"3,126.49"
30/05/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,66.54,"3,059.95"
31/05/2020,CARD PAYMENT TO APPLE,Apple,Subscriptions,,6.76,"3,053.19"
31/05/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,54.12,"2,999.07"
01/06/2020,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2424.09,,"5,423.16"
02/06/2020,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"4,573.16"
02/06/2020,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,42.34,"4,530.82"
03/06/2020,DIRECT DEBIT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,41.79,"4,489.03"
04/06/2020,CARD PAYMENT TO ALDI,Aldi,Groceries,,33.68,"4,455.35"
05/06/2020,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,57.89,"4,397.46"
06/06/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,24.14,"4,373.32"
07/06/2020,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,29.98,"4,343.34"
07/06/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,39.49,"4,303.85"
08/06/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,52.67,"4,251.18"
09/06/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,13.57,"4,237.61"
10/06/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,47.45,"4,190.16"
11/06/2020,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,9.5,"4,180.66"
11/06/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,30.13,"4,150.53"
13/06/2020,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,11.57,"4,138.96"
13/06/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,56.22,"4,082.74"
13/06/2020,CARD PAYMENT TO TESCO,Tesco,Groceries,,21.05,"4,061.69"
15/06/2020,CARD PAYMENT TO SAINSBURYS,Sainsburys,Groceries,,34.82,"4,026.87"
16/06/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,59.85,"3,967.02"
16/06/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,78.14,"3,888.88"
16/06/2020,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,8.53,"3,880.35"
17/06/2020,CARD PAYMENT TO NANDOS,Nandos,Food & Drink,,7.34,"3,873.01"
17/06/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,37.29,"3,835.72"
18/06/2020,CARD PAYMENT TO ALDI,Aldi,Groceries,,13.02,"3,822.70"
18/06/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,15.8,"3,806.90"
19/06/2020,CARD PAYMENT TO ASDA,Asda,Groceries,,57.55,"3,749.35"
19/06/2020,CARD PAYMENT TO APPLE,Apple,Subscriptions,,2.87,"3,746.48"
20/06/2020,CARD PAYMENT TO APPLE,Apple,Subscriptions,,14.16,"3,732.32"
21/06/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,16.55,"3,715.77"
22/06/2020,CARD PAYMENT TO APPLE,Apple,Subscriptions,,3.94,"3,711.83"
23/06/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,29.79,"3,682.04"
24/06/2020,CARD PAYMENT TO STARBUCKS,Starbucks,Food & Drink,,29.79,"3,652.25"
24/06/2020,CARD PAYMENT TO PRET,Pret,Food & Drink,,28.57,"3,623.68"
24/06/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,46.97,"3,576.71"
25/06/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,51.74,"3,524.97"
26/06/2020,CARD PAYMENT TO UBER,Uber,Transport,,36.67,"3,488.30"
26/06/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,75.31,"3,412.99"
27/06/2020,CARD PAYMENT TO GREGGS,Greggs,Food & Drink,,23.86,"3,389.13"
28/06/2020,CARD PAYMENT TO IKEA,Ikea,Shopping,,150.39,"3,238.74"
28/06/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,24.93,"3,213.81"
29/06/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,29.24,"3,184.57"
29/06/2020,CARD PAYMENT TO IKEA,Ikea,Shopping,,106.07,"3,078.50"
30/06/2020,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,15.91,"3,062.59"
30/06/2020,CARD PAYMENT TO UBER,Uber,Transport,,20.15,"3,042.44"
30/06/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,39.09,"3,003.35"
01/07/2020,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2589.19,,"5,592.54"
01/07/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,49.72,"5,542.82"
01/07/2020,CARD PAYMENT TO SAINSBURYS,Sainsburys,Groceries,,36.63,"5,506.19"
02/07/2020,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"4,656.19"
02/07/2020,CARD PAYMENT TO NANDOS,Nandos,Food & Drink,,25.82,"4,630.37"
02/07/2020,CARD PAYMENT TO UBER EATS,Uber Eats,Food & Drink,,27.58,"4,602.79"
03/07/2020,DIRECT DEBIT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,75.57,"4,527.22"
03/07/2020,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,26.13,"4,501.09"
03/07/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,41.16,"4,459.93"
03/07/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,71.11,"4,388.82"
04/07/2020,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,158.94,"4,229.88"
04/07/2020,CARD PAYMENT TO LIDL,Lidl,Groceries,,11.9,"4,217.98"
04/07/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,47.34,"4,170.64"
05/07/2020,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,93.48,"4,077.16"
06/07/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,18.48,"4,058.68"
06/07/2020,CARD PAYMENT TO TESCO,Tesco,Groceries,,26.49,"4,032.19"
06/07/2020,CARD PAYMENT TO MORRISONS,Morrisons,Groceries,,28.43,"4,003.76"
07/07/2020,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,35.19,"3,968.57"
07/07/2020,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,12.88,"3,955.69"
08/07/2020,CARD PAYMENT TO UBER,Uber,Transport,,55.47,"3,900.22"
08/07/2020,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,25.75,"3,874.47"
09/07/2020,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,12.67,"3,861.80"
09/07/2020,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,12.84,"3,848.96"
10/07/2020,CARD PAYMENT TO PRET,Pret,Food & Drink,,28.52,"3,820.44"
11/07/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,47.41,"3,773.03"
11/07/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,59.97,"3,713.06"
12/07/2020,CARD PAYMENT TO STARBUCKS,Starbucks,Food & Drink,,13.3,"3,699.76"
12/07/2020,CARD PAYMENT TO IKEA,Ikea,Shopping,,178.79,"3,520.97"
12/07/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,58.9,"3,462.07"
13/07/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,38.3,"3,423.77"
13/07/2020,CARD PAYMENT TO LIDL,Lidl,Groceries,,50.47,"3,373.30"
13/07/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,40.35,"3,332.95"
14/07/2020,CARD PAYMENT TO BP,BP,Transport,,40.29,"3,292.66"
14/07/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,9.37,"3,283.29"
16/07/2020,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,11.27,"3,272.02"
16/07/2020,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,45.93,"3,226.09"
17/07/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,32.05,"3,194.04"
